1,0.0025919,14.522,0.99145,849.2,0.33738,54.383,4.9302,5827.8,6.7549,2.0812,9.75e-05,2.6674,4.918e+05,1.3e+08,0,0.0091745,27.191,0,0,0,0.045961,1408,0.17175,850.01,0.22213,49.487,3.0979,4143.9,4.2868,2.6419,7.64e-05,27.238,1.1871e+05,2.19e+07,0,0.18422,24.744,0,0,0
2,0.0064863,5.1566,0.99128,295.54,0.46983,31.898,4.3647,1935.1,5.7004,1.6313,0.00012,1.5815,1.7194e+05,4.71e+07,0,0.022656,15.949,0,0,0,0.0013717,46.348,0.94086,391.85,0.18287,47.853,4.7878,3375.7,7.1887,2.6873,6.83e-05,5.2668,1.2194e+05,2.65e+07,0,0.0081149,23.927,0,0,0
2,0.0095545,3.8943,0.99281,270.76,0.51301,32.013,4.2049,1852.5,5.4027,1.5048,0.000128,1.3552,1.7919e+05,5.34e+07,0,0.02841,16.007,0,0,0,0.0051391,986.39,0.53438,1059.2,0.098449,79.691,4.1714,8953.7,6.0492,3.1204,5.64e-05,24.381,1.983e+05,4.6e+07,0,0.043248,39.846,0,0,0
1,0.017948,2.9856,0.99456,274.4,0.60389,22.901,3.9799,1452.6,4.897,1.3329,0.00014,1.0509,1.9161e+05,5.58e+07,0,0.059279,11.451,0,0,0,0.011617,378.24,0.78319,872.29,0.14395,52.379,3.8257,5468.3,5.8812,2.649,6.97e-05,14.64,3.7432e+05,8.28e+07,0,0.083102,26.189,0,0,0
2,0.014011,7.8775,0.99559,892.72,0.48733,31.659,4.1289,4320.9,5.4148,1.6869,0.000121,1.6843,8.5723e+05,2.71e+08,0,0.042876,15.83,0,0,0,0.028948,266.01,0.74116,513.85,0.19849,32.797,3.5682,2643.7,5,2.7955,7.06e-05,11.974,2.649e+05,6.08e+07,0,0.14184,16.398,0,0,0
1,0.02384,4.6254,0.9938,372.86,0.53252,20.477,3.6792,1769,4.8031,1.512,0.00013,1.3521,2.8693e+05,7.95e+07,0,0.06235,10.238,0,0,0,0.025175,255.57,0.72909,471.69,0.19098,33.237,3.7022,2503.5,5.1498,2.8482,6.77e-05,11.773,2.1945e+05,5.03e+07,0,0.13103,16.619,0,0,0
2,0.026791,3.6559,0.99286,255.97,0.5574,19.243,3.6592,1263.1,4.7081,1.4263,0.000134,1.212,1.8419e+05,5.37e+07,0,0.088162,9.6215,0,0,0,0.013515,240.57,0.67855,374.19,0.15492,35.512,3.867,2257.6,5.5647,2.9032,6.32e-05,11.735,1.2033e+05,2.43e+07,0,0.087171,17.756,0,0,0
3,0.0059512,13.699,0.98213,383.27,0.39594,34.047,4.4283,2396.6,6.0831,1.9847,0.000105,2.3681,1.7915e+05,3.88e+07,0,0.021554,17.023,0,0,0,0.0038233,105.44,0.84391,337.75,0.15352,36.234,4.4869,2253.4,6.6499,3.0642,5.66e-05,7.8271,1.1303e+05,2.19e+07,0,0.038087,18.117,0,0,0
1,0.013451,4.3603,0.99386,355.13,0.53305,25.471,4.0466,1875.2,5.1884,1.4925,0.000131,1.3275,2.4709e+05,6.49e+07,0,0.04212,12.736,0,0,0,0.048137,568.3,0.30087,406.43,0.23251,33.367,3.1128,1972.8,4.3173,2.6209,7.77e-05,17.221,79074,1.55e+07,0,0.19076,16.684,0,0,0
2,0.009134,4.9779,0.9914,289.45,0.46459,27.186,4.1505,1683.5,5.4957,1.6187,0.000121,1.5769,1.7516e+05,4.79e+07,0,0.027641,13.593,0,0,0,0.031457,1829.1,0.14647,1071.5,0.18632,60.429,3.2508,5726.3,4.5698,2.7442,7.1e-05,31.756,1.2302e+05,2.46e+07,0,0.14507,30.215,0,0,0
2,0.023769,3.8542,0.99121,219.2,0.52757,17.348,3.601,1061.9,4.7317,1.4883,0.000129,1.3117,1.5708e+05,4.53e+07,0,0.068209,8.6738,0,0,0,0.015593,15.668,0.9686,249.5,0.32438,18.758,3.6883,1209.4,5.3725,2.1613,9.08e-05,2.8634,1.7008e+05,4.74e+07,0,0.077579,9.3788,0,0,0
2,0.0090983,18.936,0.98812,797.16,0.3079,38.136,4.4057,4307.5,6.2342,2.2445,8.77e-05,3.1291,5.1728e+05,1.39e+08,0,0.062797,19.068,0,0,0,0.017517,410.04,0.57357,480.79,0.16077,40.533,3.754,2865.8,5.302,2.9047,6.47e-05,15.208,1.3741e+05,2.89e+07,0,0.10291,20.266,0,0,0
1,0.016302,5.5306,0.98983,271.78,0.46726,20.916,3.7901,1374.9,5.1085,1.6423,0.00012,1.6058,1.4652e+05,3.32e+07,0,0.044444,10.458,0,0,0,0.022126,258.85,0.64749,367.15,0.18226,32.46,3.7064,2036.5,5.1912,2.868,6.65e-05,11.957,1.3181e+05,2.82e+07,0,0.12112,16.23,0,0,0
1,0.019998,4.5954,0.9942,396.32,0.56936,25.838,4.0416,2055.8,5.0836,1.4855,0.000133,1.2734,2.3856e+05,5.56e+07,0,0.079786,12.919,0,0,0,0.010812,133.56,0.8364,408.2,0.16796,33.44,4.2171,2353.2,5.9478,3.0364,5.99e-05,8.7286,1.7782e+05,3.67e+07,0,0.078811,16.72,0,0,0
2,0.019742,5.8007,0.99208,366.4,0.55927,24.214,3.9927,1868.7,5.0799,1.5442,0.00013,1.369,2.757e+05,8.28e+07,0,0.078935,12.107,0,0,0,0.0056113,77.711,0.90875,425.8,0.18124,34.692,4.4481,2540.2,6.6142,2.9314,6.05e-05,6.6473,1.7868e+05,3.53e+07,0,0.052563,17.346,0,0,0
2,0.0027559,15.668,0.98964,756.28,0.33005,53.393,4.9114,5359.9,6.7642,2.1244,9.54e-05,2.7832,3.6415e+05,9.09e+07,0,0.012859,26.696,0,0,0,0.026056,1257.9,0.35558,975.97,0.17847,59.672,3.5182,5799.2,4.9414,2.8374,6.82e-05,26.267,1.5313e+05,2.89e+07,0,0.13441,29.836,0,0,0
3,0.013969,5.3363,0.98904,243.47,0.4753,20.109,3.8214,1233.8,5.1139,1.6235,0.000121,1.5661,1.6567e+05,4.51e+07,0,0.044845,10.055,0,0,0,0.016828,244.98,0.64792,347.9,0.16598,32.762,3.7945,1985.7,5.3473,2.9272,6.38e-05,11.786,1.2044e+05,2.46e+07,0,0.10019,16.381,0,0,0
2,0.0023403,17.103,0.98624,621.52,0.30107,46.895,4.7931,4241.6,6.7388,2.1779,9.14e-05,2.9907,3.7027e+05,1.02e+08,0,0.0090669,23.448,0,0,0,0.01317,1463.9,0.28528,1024.1,0.13044,69.475,3.6768,6961.9,5.284,2.9591,6.19e-05,29.298,1.242e+05,2.68e+07,0,0.08245,34.737,0,0,0
2,0.0010203,32.274,0.98665,1208.8,0.22969,77.493,5.3075,10014,7.5805,2.4907,7.78e-05,4.1985,5.1585e+05,1.33e+08,0,0.0053436,38.747,0,0,0,0.0016369,45.298,0.94199,390.45,0.18386,43.396,4.6876,3014.9,7.0685,2.6764,6.86e-05,5.2126,1.7397e+05,4.62e+07,0,0.010081,21.698,0,0,0
3,0.000796,62.594,0.9474,595.04,0.15214,66.93,5.0231,6150,7.6655,2.8306,6.29e-05,6.2143,2.1225e+05,4.79e+07,0,0.0028625,33.465,0,0,0,0.0014368,17.813,0.98402,557.34,0.28276,61.184,5.0126,5366.7,7.0491,2.2149,8.89e-05,3.1434,1.8476e+05,4.13e+07,0,0.004509,30.592,0,0,0
2,0.0085396,6.8611,0.99193,425.09,0.46001,33.099,4.3859,2518,5.7632,1.7206,0.000117,1.7379,2.335e+05,5.69e+07,0,0.032561,16.55,0,0,0,0.041316,2297.5,0.053932,1214.2,0.20735,60.942,3.0622,5909.5,4.2701,2.6546,7.49e-05,35.242,1.1972e+05,2.42e+07,0,0.17,30.471,0,0,0
2,0.018616,3.4396,0.99676,530.26,0.57827,25.721,3.97,2590.7,4.9653,1.3997,0.000137,1.1551,4.6197e+05,1.39e+08,0,0.057691,12.861,0,0,0,0.000654,99.612,0.92828,694.43,0.12961,65.878,5.1191,6369.8,7.8951,3.0552,5.62e-05,7.7594,2.0536e+05,4.52e+07,0,0.0078834,32.939,0,0,0
