s-IMAGE,p-IMAGE,s-COR, s-DIS, s-CON, s-IDM, s-ENT, s-SEN, s-DEN, s-ASM, s-VAR, s-SVA, s-DVA, s-MEA, s-SAV, s-CLS, s-CLP, s-MAP, s-MIP, s-IMIN, s-IMAX, s-MEA,p-COR, p-DIS, p-CON, p-IDM, p-ENT, p-SEN, p-DEN, p-ASM, p-VAR, p-SVA, p-DVA, p-MEA, p-SAV, p-CLS, p-CLP, p-MAP, p-MIP, p-IMIN, p-IMAX, p-MEA,
PicA1000.bmp, PicB1000.bmp, 0.98843079805374146, 4.04517459869384770, 38.61545562744140600, 0.30260384082794189, 6.76757287979125980, 5.21950817108154300, 2.49311876296997070, 0.00392969511449337, 1668.68847656250000000, 11605.65332031250000000, 38.61530685424804700, 37.85777282714843700, 75.71429443359375000, 1216290.25000000000000000, 423631648.00000000000000000, 0.02958693914115429, 0.00000000000000000, , , , 0.98843079805374146, 4.04517459869384770, 38.61545562744140600, 0.30260384082794189, 6.76757287979125980, 5.21950817108154300, 2.49311876296997070, 0.00392969511449337, 1668.68847656250000000, 11605.65332031250000000, 38.61530685424804700, 37.85777282714843700, 75.71429443359375000, 1216290.25000000000000000, 423631648.00000000000000000, 0.02958693914115429, 0.00000000000000000, , , , 
PicA1001.bmp, PicB1001.bmp, 0.98691785335540771, 4.53877258300781250, 45.38962936401367200, 0.27808302640914917, 7.07277917861938480, 5.39268350601196290, 2.60299611091613770, 0.00291571673005819, 1735.11718750000000000, 13603.83593750000000000, 45.38939285278320300, 43.65048217773437500, 87.29975891113281300, 893875.25000000000000000, 276877024.00000000000000000, 0.02577095665037632, 0.00000000000000000, , , , 0.98691785335540771, 4.53877258300781250, 45.38962936401367200, 0.27808302640914917, 7.07277917861938480, 5.39268350601196290, 2.60299611091613770, 0.00291571673005819, 1735.11718750000000000, 13603.83593750000000000, 45.38939285278320300, 43.65048217773437500, 87.29975891113281300, 893875.25000000000000000, 276877024.00000000000000000, 0.02577095665037632, 0.00000000000000000, , , , 
PicA1002.bmp, PicB1002.bmp, 0.98837476968765259, 3.94700574874877930, 36.30768203735351600, 0.30798935890197754, 6.75796699523925780, 5.21969270706176760, 2.47342634201049800, 0.00392070272937417, 1561.22070312500000000, 11035.19238281250000000, 36.30743408203125000, 37.34736251831054700, 74.69345092773437500, 1031947.68750000000000000, 342542112.00000000000000000, 0.02776062488555908, 0.00000000000000000, , , , 0.98837476968765259, 3.94700574874877930, 36.30768203735351600, 0.30798935890197754, 6.75796699523925780, 5.21969270706176760, 2.47342634201049800, 0.00392070272937417, 1561.22070312500000000, 11035.19238281250000000, 36.30743408203125000, 37.34736251831054700, 74.69345092773437500, 1031947.68750000000000000, 342542112.00000000000000000, 0.02776062488555908, 0.00000000000000000, , , , 
PicA1003.bmp, PicB1003.bmp, 0.98690158128738403, 3.94363260269165040, 35.73546600341796900, 0.30297690629959106, 6.76683950424194340, 5.21102237701416020, 2.47161102294921870, 0.00366049236617982, 1364.57470703125000000, 10046.74902343750000000, 35.73538208007812500, 36.60692596435546900, 73.21247100830078100, 825918.00000000000000000, 257123696.00000000000000000, 0.02769528329372406, 0.00000000000000000, , , , 0.98690158128738403, 3.94363260269165040, 35.73546600341796900, 0.30297690629959106, 6.76683950424194340, 5.21102237701416020, 2.47161102294921870, 0.00366049236617982, 1364.57470703125000000, 10046.74902343750000000, 35.73538208007812500, 36.60692596435546900, 73.21247100830078100, 825918.00000000000000000, 257123696.00000000000000000, 0.02769528329372406, 0.00000000000000000, , , , 
PicA1004.bmp, PicB1004.bmp, 0.98820960521697998, 2.84041190147399900, 18.80101776123046900, 0.37528520822525024, 6.10251140594482420, 4.85519361495971680, 2.18015336990356450, 0.00656648073345423, 797.36547851562500000, 5500.47119140625000000, 18.80095291137695300, 26.56163978576660200, 53.12327194213867200, 479550.15625000000000000, 149359024.00000000000000000, 0.03569316491484642, 0.00000000000000000, , , , 0.98820960521697998, 2.84041190147399900, 18.80101776123046900, 0.37528520822525024, 6.10251140594482420, 4.85519361495971680, 2.18015336990356450, 0.00656648073345423, 797.36547851562500000, 5500.47119140625000000, 18.80095291137695300, 26.56163978576660200, 53.12327194213867200, 479550.15625000000000000, 149359024.00000000000000000, 0.03569316491484642, 0.00000000000000000, , , , 
PicA1005.bmp, PicB1005.bmp, 0.98668301105499268, 3.91292333602905270, 35.12668609619140600, 0.30553850531578064, 6.70704603195190430, 5.17317152023315430, 2.46398162841796870, 0.00392384454607964, 1318.72888183593750000, 9575.52539062500000000, 35.12649536132812500, 35.51023864746093800, 71.01948547363281200, 760662.18750000000000000, 220172240.00000000000000000, 0.02608786523342133, 0.00000000000000000, , , , 0.98668301105499268, 3.91292333602905270, 35.12668609619140600, 0.30553850531578064, 6.70704603195190430, 5.17317152023315430, 2.46398162841796870, 0.00392384454607964, 1318.72888183593750000, 9575.52539062500000000, 35.12649536132812500, 35.51023864746093800, 71.01948547363281200, 760662.18750000000000000, 220172240.00000000000000000, 0.02608786523342133, 0.00000000000000000, , , , 
PicA1006.bmp, PicB1006.bmp, 0.98891371488571167, 4.61108732223510740, 50.23839187622070300, 0.28516277670860291, 7.06050109863281250, 5.39487123489379880, 2.61440038681030270, 0.00320297316648066, 2265.21411132812500000, 16179.85644531250000000, 50.23825836181640600, 45.03357696533203100, 90.06603240966796900, 1589832.75000000000000000, 556073792.00000000000000000, 0.02673148550093174, 0.00000000000000000, , , , 0.98891371488571167, 4.61108732223510740, 50.23839187622070300, 0.28516277670860291, 7.06050109863281250, 5.39487123489379880, 2.61440038681030270, 0.00320297316648066, 2265.21411132812500000, 16179.85644531250000000, 50.23825836181640600, 45.03357696533203100, 90.06603240966796900, 1589832.75000000000000000, 556073792.00000000000000000, 0.02673148550093174, 0.00000000000000000, , , , 
PicA1007.bmp, PicB1007.bmp, 0.98718005418777466, 3.20681571960449220, 23.80540084838867200, 0.34748351573944092, 6.35570001602172850, 4.99856090545654300, 2.28633928298950200, 0.00517131015658379, 928.80029296875000000, 6728.24121093750000000, 23.80535125732421900, 30.05310249328613300, 60.10631179809570300, 496677.46875000000000000, 137248256.00000000000000000, 0.03231497481465340, 0.00000000000000000, , , , 0.98718005418777466, 3.20681571960449220, 23.80540084838867200, 0.34748351573944092, 6.35570001602172850, 4.99856090545654300, 2.28633928298950200, 0.00517131015658379, 928.80029296875000000, 6728.24121093750000000, 23.80535125732421900, 30.05310249328613300, 60.10631179809570300, 496677.46875000000000000, 137248256.00000000000000000, 0.03231497481465340, 0.00000000000000000, , , , 
PicA1008.bmp, PicB1008.bmp, 0.98852103948593140, 2.39446806907653810, 14.55740165710449200, 0.43333539366722107, 5.61096954345703130, 4.55047035217285160, 2.03330922126770020, 0.01268274802714586, 634.17486572265625000, 3836.40966796875000000, 14.55739021301269500, 20.40169906616210900, 40.80332946777343800, 323749.00000000000000000, 75013104.00000000000000000, 0.06066368147730827, 0.00000000000000000, , , , 0.98852103948593140, 2.39446806907653810, 14.55740165710449200, 0.43333539366722107, 5.61096954345703130, 4.55047035217285160, 2.03330922126770020, 0.01268274802714586, 634.17486572265625000, 3836.40966796875000000, 14.55739021301269500, 20.40169906616210900, 40.80332946777343800, 323749.00000000000000000, 75013104.00000000000000000, 0.06066368147730827, 0.00000000000000000, , , , 
PicA1009.bmp, PicB1009.bmp, 0.98705554008483887, 4.09197139739990230, 36.57403564453125000, 0.29413744807243347, 6.85275697708129880, 5.26250648498535160, 2.50726175308227540, 0.00348532269708812, 1412.59655761718750000, 10782.87304687500000000, 36.57372283935546900, 38.57982635498046900, 77.15859985351562500, 703243.75000000000000000, 202761648.00000000000000000, 0.02730976417660713, 0.00000000000000000, , , , 0.98705554008483887, 4.09197139739990230, 36.57403564453125000, 0.29413744807243347, 6.85275697708129880, 5.26250648498535160, 2.50726175308227540, 0.00348532269708812, 1412.59655761718750000, 10782.87304687500000000, 36.57372283935546900, 38.57982635498046900, 77.15859985351562500, 703243.75000000000000000, 202761648.00000000000000000, 0.02730976417660713, 0.00000000000000000, , , , 
