s-IMAGE,p-IMAGE,s-COR, s-DIS, s-CON, s-IDM, s-ENT, s-SEN, s-DEN, s-ASM, s-VAR, s-SVA, s-DVA, s-MEA, s-SAV, s-CLS, s-CLP, s-MAP, s-MIP, s-IMIN, s-IMAX, s-MEA,p-COR, p-DIS, p-CON, p-IDM, p-ENT, p-SEN, p-DEN, p-ASM, p-VAR, p-SVA, p-DVA, p-MEA, p-SAV, p-CLS, p-CLP, p-MAP, p-MIP, p-IMIN, p-IMAX, p-MEA,
PicA1000.bmp, PicB1000.bmp, 0.99150192737579346, 3.44657516479492190, 28.35999870300293000, 0.33778700232505798, 6.62423467636108400, 5.20705032348632810, 2.34240031242370610, 0.00444077327847481, 1667.73608398437500000, 11609.42578125000000000, 28.35988616943359400, 37.84181213378906300, 75.68280792236328100, 1219377.37500000000000000, 425185920.00000000000000000, 0.03154880553483963, 0.00000000000000000, , , , 0.99150192737579346, 3.44657516479492190, 28.35999870300293000, 0.33778700232505798, 6.62423467636108400, 5.20705032348632810, 2.34240031242370610, 0.00444077327847481, 1667.73608398437500000, 11609.42578125000000000, 28.35988616943359400, 37.84181213378906300, 75.68280792236328100, 1219377.37500000000000000, 425185920.00000000000000000, 0.03154880553483963, 0.00000000000000000, , , , 
PicA1001.bmp, PicB1001.bmp, 0.99052953720092773, 3.82999563217163090, 32.85552978515625000, 0.31093245744705200, 6.92178440093994140, 5.38174295425415040, 2.43885374069213870, 0.00325505691580474, 1734.38854980468750000, 13608.37304687500000000, 32.85543060302734400, 43.62929153442382800, 87.25775909423828100, 897446.31250000000000000, 278251648.00000000000000000, 0.02698098495602608, 0.00000000000000000, , , , 0.99052953720092773, 3.82999563217163090, 32.85552978515625000, 0.31093245744705200, 6.92178440093994140, 5.38174295425415040, 2.43885374069213870, 0.00325505691580474, 1734.38854980468750000, 13608.37304687500000000, 32.85543060302734400, 43.62929153442382800, 87.25775909423828100, 897446.31250000000000000, 278251648.00000000000000000, 0.02698098495602608, 0.00000000000000000, , , , 
PicA1002.bmp, PicB1002.bmp, 0.99172914028167725, 3.32019948959350590, 25.81700134277343800, 0.34305882453918457, 6.60280799865722660, 5.20680236816406250, 2.31138777732849120, 0.00442521972581744, 1560.56811523437500000, 11041.69238281250000000, 25.81694793701171900, 37.33575439453125000, 74.67068481445312500, 1034997.43750000000000000, 343930304.00000000000000000, 0.02952424995601177, 0.00000000000000000, , , , 0.99172914028167725, 3.32019948959350590, 25.81700134277343800, 0.34305882453918457, 6.60280799865722660, 5.20680236816406250, 2.31138777732849120, 0.00442521972581744, 1560.56811523437500000, 11041.69238281250000000, 25.81694793701171900, 37.33575439453125000, 74.67068481445312500, 1034997.43750000000000000, 343930304.00000000000000000, 0.02952424995601177, 0.00000000000000000, , , , 
PicA1003.bmp, PicB1003.bmp, 0.99094247817993164, 3.28843283653259280, 24.70906448364257800, 0.33845832943916321, 6.60483551025390620, 5.19742155075073240, 2.30048108100891110, 0.00413841707631946, 1363.94641113281250000, 10053.69433593750000000, 24.70906257629394500, 36.59412002563476600, 73.18727111816406200, 829213.68750000000000000, 258656064.00000000000000000, 0.02923973277211189, 0.00000000000000000, , , , 0.99094247817993164, 3.28843283653259280, 24.70906448364257800, 0.33845832943916321, 6.60483551025390620, 5.19742155075073240, 2.30048108100891110, 0.00413841707631946, 1363.94641113281250000, 10053.69433593750000000, 24.70906257629394500, 36.59412002563476600, 73.18727111816406200, 829213.68750000000000000, 258656064.00000000000000000, 0.02923973277211189, 0.00000000000000000, , , , 
PicA1004.bmp, PicB1004.bmp, 0.99185669422149658, 2.35436177253723140, 12.97881507873535200, 0.41867223381996155, 5.94036579132080080, 4.83629560470581050, 2.00982618331909180, 0.00745183415710926, 797.00567626953125000, 5505.39550781250000000, 12.97879600524902300, 26.55502891540527300, 53.11004257202148400, 480747.18750000000000000, 149828688.00000000000000000, 0.03795155137777329, 0.00000000000000000, , , , 0.99185669422149658, 2.35436177253723140, 12.97881507873535200, 0.41867223381996155, 5.94036579132080080, 4.83629560470581050, 2.00982618331909180, 0.00745183415710926, 797.00567626953125000, 5505.39550781250000000, 12.97879600524902300, 26.55502891540527300, 53.11004257202148400, 480747.18750000000000000, 149828688.00000000000000000, 0.03795155137777329, 0.00000000000000000, , , , 
PicA1005.bmp, PicB1005.bmp, 0.99029195308685303, 3.33188486099243160, 25.59551048278808600, 0.33838689327239990, 6.56145668029785160, 5.16059160232543950, 2.31156730651855470, 0.00441781897097826, 1318.10571289062500000, 9580.83496093750000000, 25.59544563293457000, 35.49725723266601600, 70.99384307861328100, 763418.31250000000000000, 221387808.00000000000000000, 0.02765569649636746, 0.00000000000000000, , , , 0.99029195308685303, 3.33188486099243160, 25.59551048278808600, 0.33838689327239990, 6.56145668029785160, 5.16059160232543950, 2.31156730651855470, 0.00441781897097826, 1318.10571289062500000, 9580.83496093750000000, 25.59544563293457000, 35.49725723266601600, 70.99384307861328100, 763418.31250000000000000, 221387808.00000000000000000, 0.02765569649636746, 0.00000000000000000, , , , 
PicA1006.bmp, PicB1006.bmp, 0.99200910329818726, 3.91379833221435550, 36.19189453125000000, 0.31597122550010681, 6.91760110855102540, 5.38496208190917970, 2.45877170562744140, 0.00355297140777111, 2264.14672851562500000, 16187.18945312500000000, 36.19174194335937500, 45.02137756347656300, 90.04184722900390600, 1594486.12500000000000000, 558278464.00000000000000000, 0.02784187346696854, 0.00000000000000000, , , , 0.99200910329818726, 3.91379833221435550, 36.19189453125000000, 0.31597122550010681, 6.91760110855102540, 5.38496208190917970, 2.45877170562744140, 0.00355297140777111, 2264.14672851562500000, 16187.18945312500000000, 36.19174194335937500, 45.02137756347656300, 90.04184722900390600, 1594486.12500000000000000, 558278464.00000000000000000, 0.02784187346696854, 0.00000000000000000, , , , 
PicA1007.bmp, PicB1007.bmp, 0.99089157581329346, 2.70306396484375000, 16.91526794433593800, 0.38362261652946472, 6.21026992797851560, 4.98403882980346680, 2.12821078300476070, 0.00576274516060948, 928.42498779296875000, 6732.52148437500000000, 16.91519546508789100, 30.04075431823730500, 60.08157348632812500, 498548.00000000000000000, 138019840.00000000000000000, 0.03384037315845490, 0.00000000000000000, , , , 0.99089157581329346, 2.70306396484375000, 16.91526794433593800, 0.38362261652946472, 6.21026992797851560, 4.98403882980346680, 2.12821078300476070, 0.00576274516060948, 928.42498779296875000, 6732.52148437500000000, 16.91519546508789100, 30.04075431823730500, 60.08157348632812500, 498548.00000000000000000, 138019840.00000000000000000, 0.03384037315845490, 0.00000000000000000, , , , 
PicA1008.bmp, PicB1008.bmp, 0.99165844917297363, 2.04282760620117190, 10.57639694213867200, 0.46776291728019714, 5.48682975769042970, 4.53232288360595700, 1.89501357078552250, 0.01370078418403864, 633.81555175781250000, 3838.93041992187500000, 10.57639789581298800, 20.39242172241210900, 40.78484344482421900, 324632.68750000000000000, 75339480.00000000000000000, 0.06378400325775147, 0.00000000000000000, , , , 0.99165844917297363, 2.04282760620117190, 10.57639694213867200, 0.46776291728019714, 5.48682975769042970, 4.53232288360595700, 1.89501357078552250, 0.01370078418403864, 633.81555175781250000, 3838.93041992187500000, 10.57639789581298800, 20.39242172241210900, 40.78484344482421900, 324632.68750000000000000, 75339480.00000000000000000, 0.06378400325775147, 0.00000000000000000, , , , 
PicA1009.bmp, PicB1009.bmp, 0.99079883098602295, 3.44400906562805180, 25.98903656005859400, 0.32706415653228760, 6.69887399673461910, 5.25156021118164060, 2.34176015853881840, 0.00388734973967075, 1412.14636230468750000, 10791.23828125000000000, 25.98893356323242200, 38.57278442382812500, 77.14477539062500000, 705768.87500000000000000, 203711232.00000000000000000, 0.02858188003301621, 0.00000000000000000, , , , 0.99079883098602295, 3.44400906562805180, 25.98903656005859400, 0.32706415653228760, 6.69887399673461910, 5.25156021118164060, 2.34176015853881840, 0.00388734973967075, 1412.14636230468750000, 10791.23828125000000000, 25.98893356323242200, 38.57278442382812500, 77.14477539062500000, 705768.87500000000000000, 203711232.00000000000000000, 0.02858188003301621, 0.00000000000000000, , , , 
